sensorId,lat,lon,boxName,boxId,unit,time_start,arithmeticMean_10m
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T21:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T21:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:20:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:30:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T22:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:20:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:30:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-26T23:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:20:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:30:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:40:00.000Z,0
